set_num,name,year,num_parts,theme_name,parent_theme
30032-1,World Race Buggy,2010,,World Racers,Racers
30033-1,Racing Truck,2010,,Tiny Turbos,Racers
30034-1,Racing Tow Truck,2010,34.0,Tiny Turbos,Racers
30035-1,Racing Car,2010,,Tiny Turbos,Racers
30036-1,Buggy Racer,2011,26.0,Tiny Turbos,Racers
30040-1,Octopus,2010,42.0,Atlantis,Atlantis
30041-1,Piranha,2010,,Atlantis,Atlantis
30042-1,Mini Sub,2010,,Atlantis,Atlantis
30050-1,Republic Attack Shuttle - Mini,2010,54.0,Star Wars Clone Wars,Star Wars
3005-1,Kabaya Promotional Set: Car,1999,26.0,Race,Technic
30051-1,X-wing Fighter - Mini,2010,,Star Wars Episode 4/5/6,Star Wars
30052-1,AAT - Mini,2011,,Star Wars Episode 2,Star Wars
30053-1,Republic Attack Cruiser - Mini,2011,41.0,Star Wars Episode 3,Star Wars
30054-1,AT-ST - Mini,2011,46.0,Star Wars Episode 4/5/6,Star Wars
30055-1,Vulture Droid - Mini,2011,42.0,Star Wars Episode 3,Star Wars
30056-1,Star Destroyer,2012,,Star Wars Episode 4/5/6,Star Wars
30057-1,Anakin's Pod Racer,2012,,Star Wars Episode 1,Star Wars
30058-1,STAP,2012,19.0,Star Wars,Star Wars
30059-1,MTT,2012,51.0,Star Wars,Star Wars
30061-1,Attack Wagon,2010,36.0,Kingdoms,Castle
30062-1,Target Practice,2010,31.0,Kingdoms,Castle
30066-1,Circus Clown Polybag,2013,,Duplo,Duplo
30066-2,Circus Ringmaster Polybag,2013,,Duplo,Duplo
30066-4,Circus Tiger Polybag,2013,,Duplo,Duplo
30066-5,Circus Rabbit Polybag,2013,,Duplo,Duplo
30067-1,Duplo Farm Polybag (farmer),2014,5.0,Duplo,Duplo
30067-2,Duplo Farm Polybag (calf),2014,5.0,Duplo,Duplo
30067-3,Duplo Farm Polybag (goat),2014,5.0,Duplo,Duplo
30067-4,Duplo Farm Polybag (cat),2014,5.0,Duplo,Duplo
30068-1,Food,2014,6.0,Duplo,Duplo
30070-1,Alien Space Ship,2010,29.0,Toy Story,Toy Story
30071-1,Army Jeep,2010,37.0,Toy Story,Toy Story
30072-1,Woody's Camp Out,2010,,Toy Story,Toy Story
30073-1,Buzz's Mini Ship,2010,20.0,Toy Story,Toy Story
30080-1,Ninja Glider,2011,,Ninjago,Ninjago
30081-1,Skeleton Chopper,2011,41.0,Ninjago,Ninjago
30082-1,Enemy Training,2011,,Ninjago,Ninjago
30083-1,Dragon Fight,2011,,Ninjago,Ninjago
30084-1,Ninjago Promotional Set,2011,,Ninjago,Ninjago
30085-1,Snake Battle,2012,42.0,Ninjago,Ninjago
30086-1,Hidden Sword,2012,39.0,Ninjago,Ninjago
30087-1,Cole ZX's Car,2012,,Ninjago,Ninjago
30088-1,Rattla,2012,5.0,Ninjago,Ninjago
30090-1,Desert Glider,2011,,Pharaoh's Quest,Pharaoh's Quest
30091-1,Desert Rover,2011,,Pharaoh's Quest,Pharaoh's Quest
30-1,Universal Building Set,1976,200.0,Basic Set,Universal Building Set
30100-1,Andrea on the Beach,2012,28.0,Friends,Friends
30101-1,Skate Boarder,2012,,Friends,Friends
30102-1,Desk,2012,28.0,Friends,Friends
30103-1,Car,2012,32.0,Friends,Friends
30105-1,Stephanie and Mailbox,2012,41.0,Friends,Friends
30106-1,Ice Cream Stand,2013,,Friends,Friends
30107-1,Birthday Party,2013,,Friends,Friends
30108-1,Summer Picnic,2013,,Friends,Friends
301-1,Curved Road Plates,1978,2.0,Supplemental,Town
30110-1,Trolley,2011,,Harry Potter,Harry Potter
30111-1,The Lab,2011,34.0,Harry Potter,Harry Potter
30112-1,Emma's Flower Stand,2014,35.0,Friends,Friends
30113-1,Stephanie's Bakery Stand,2014,,Friends,Friends
30114-1,Andrea's Beach Lounge,2014,29.0,Friends,Friends
30115-1,Jungle Boat,2014,,Jungle Rescue,Friends
30116-1,Rapunzel's Market Visit,2014,37.0,Disney Princess,Disney Princess
30120-1,Guido,2011,,Cars,Cars
3012-1,Space Hover,1999,,UFO,Space
30121-1,Grem,2011,,Cars,Cars
30130-1,Mini Black Pearl,2011,,Pirates of the Caribbean,Pirates of the Caribbean
3013-1,Space Jet,1999,23.0,Spyrius,Space
30131-1,Jacks Boat,2011,21.0,Pirates of the Caribbean,Pirates of the Caribbean
30132-1,Voodoo Jack,2011,,Pirates of the Caribbean,Pirates of the Caribbean
30133-1,Jack Sparrow,2011,4.0,Pirates of the Caribbean,Pirates of the Caribbean
30140-1,ADU Walker,2011,34.0,Alien Conquest,Space
3014-1,Ice Planet Scooter,1999,19.0,Ice Planet 2002,Space
30141-1,ADU Jetpack,2011,19.0,Alien Conquest,Space
30150-1,Race Car,2012,,Traffic,Town
3015-1,Space Police Car,1999,,Space Police II,Space
30151-1,Mining Dozer,2012,33.0,Construction,Town
30152-1,Mining Quad,2012,,Construction,Town
30160-1,Bat Jetski,2012,,Batman,Super Heroes
3016-1,Boss with Cannon,1998,24.0,Ninja,Ninja
30161-1,Batmobile,2012,45.0,Batman,Super Heroes
30162-1,Quinjet,2012,33.0,Avengers,Super Heroes
30163-1,Thor and the Cosmic Cube,2012,25.0,Avengers,Super Heroes
30164-1,Lex Luthor,2012,,Batman,Super Heroes
30165-1,Hawkeye with Equipment,2012,24.0,Avengers,Super Heroes
30166-1,Robin and Redbird Cycle,2013,,Batman,Super Heroes
30167-1,Iron Man vs. Fighting Drone,2013,24.0,Iron Man,Super Heroes
30168-1,Gun Mounting System,2013,16.0,Iron Man,Super Heroes
30170-1,Ganrash,2012,56.0,Game,Gear
3017-1,Water Spider,1998,,Ninja,Ninja
30180-1,Twin Prop,2012,45.0,Creator,Creator
3018-1,Go! LEGO Shogun,1998,25.0,Ninja,Ninja
30181-1,Helicopter,2012,,Creator,Creator
30182-1,Santa,2012,57.0,Creator,Seasonal
30183-1,Little Car,2013,50.0,Traffic,Creator
30184-1,Little Helicopter,2013,56.0,Creator,Creator
30185-1,Little Eagle,2013,,Creator,Creator
30186-1,Christmas Tree,2013,51.0,Creator,Seasonal
30187-1,Fast Car,2014,56.0,Basic Model,Creator
30188-1,Cute Kitten,2014,,Creator,Creator
30189-1,Transport Plane,2014,49.0,Creator,Creator
30190-1,Ferrari 150° Italia,2012,,Ferrari,Racers
3019-1,Big Bat,1998,,Ninja,Ninja
30191-1,Scuderia Ferrari Truck,2012,,Ferrari,Racers
30192-1,Ferrari F40,2012,,Ferrari,Racers
30193-1,250 GT Berlinetta,2012,,Ferrari,Racers
30194-1,458 Italia,2012,32.0,Ferrari,Racers
30195-1,FXX,2012,52.0,Ferrari,Racers
30196-1,Shell F1 Team,2012,47.0,Ferrari,Racers
30197-1,Snowman,2014,60.0,Creator,Creator
30-2,Small Ship Set,1973,,Minitalia,Minitalia
30200-1,Zombie Chauffeur Coffin Car,2012,32.0,Monster Fighters,Monster Fighters
3020-1,Raft of Johnse,1998,,Desert,Adventurers
30201-1,Ghost,2012,33.0,Monster Fighters,Monster Fighters
30202-1,Smoothie Stand,2015,,Friends,Friends
30203-1,Mini Golf,2015,26.0,Friends,Friends
30204-1,Wish Fountain,2015,44.0,Friends,Friends
30205-1,Pop Star,2015,33.0,Friends,Friends
302-1,Straight Road Plates (without crosswalk),1983,2.0,Supplemental,Town
30210-1,Frodo with Cooking Corner,2012,,The Lord of the Rings,The Hobbit and Lord of the Rings
3021-1,King Pharaoh the Third,1998,,Desert,Adventurers
30211-1,Uruk Hai with Ballista,2012,21.0,The Lord of the Rings,The Hobbit and Lord of the Rings
30212-1,Mirkwood Elf Guard,2012,27.0,An Unexpected Journey,The Hobbit and Lord of the Rings
30213-1,Gandalf at Dol Guldur,2012,31.0,An Unexpected Journey,The Hobbit and Lord of the Rings
30215-1,Legolas Greenleaf,2013,33.0,The Desolation of Smaug,The Hobbit and Lord of the Rings
30216-1,Lake-town Guard,2013,31.0,The Desolation of Smaug,The Hobbit and Lord of the Rings
30217-1,Forest Polybag : Squirrel,2015,4.0,Duplo,Duplo
30217-2,Forest Polybag : Rabbit,2015,,Duplo,Duplo
30217-3,Forest Polybag : Deer Fawn,2015,,Duplo,Duplo
30217-4,Forest Polybag : Black Bear Cub,2015,4.0,Duplo,Duplo
30218-1,Snail,2015,,Duplo,Duplo
302-2,Straight Road Plates (with crosswalk),1978,2.0,Supplemental,Town
30220-1,Fire Speedboat,2013,40.0,Fire,Town
3022-1,Plane of Hurrykain,1998,23.0,Desert,Adventurers
30221-1,Fire Car,2013,36.0,Fire,Town
30222-1,Police Helicopter,2013,33.0,Police,Town
30224-1,Lawn Mower,2013,,City,Town
30225-1,Seaplane,2013,37.0,Coast Guard,Town
30226-1,Police Helicopter ,2014,48.0,Police,Town
30227-1,Police Watercraft,2014,36.0,Police,Town
30228-1,Police ATV,2014,42.0,Police,Town
30229-1,Repair Lift,2014,,Construction,Town
30230-1,Mini Mech,2013,28.0,Galaxy Squad,Space
3023-1,Slyboot Car,1998,23.0,Desert,Adventurers
30231-1,Space Insectoid,2013,27.0,Galaxy Squad,Space
30240-1,Z-95 Headhunter,2013,54.0,Star Wars Clone Wars,Star Wars
30241-1,Mandalorian Fighter,2013,,Star Wars Clone Wars,Star Wars
30242-1,Republic Frigate,2013,,Star Wars Episode 1,Star Wars
30243-1,Umbaran MHC,2013,49.0,Star Wars Clone Wars,Star Wars
30244-1,Anakin's Jedi Intercepter,2014,,Mini,Star Wars
30246-1,Imperial Shuttle,2014,57.0,Star Wars,Star Wars
30247-1,ARC-170 Starfighter,2014,54.0,Star Wars,Star Wars
30250-1,Ewar's Acro-Fighter,2013,,Legends of Chima,Legends of Chima
3025-1,25th Anniversary Silver Bucket,1998,601.0,Basic Set,Universal Building Set
30251-1,Winzar's Pack Patrol,2013,38.0,Legends of Chima,Legends of Chima
30252-1,Crug's Swamp Jet,2013,,Legends of Chima,Legends of Chima
30253-1,Leonidas' Jungle Dragster,2013,30.0,Legends of Chima,Legends of Chima
30254-1,Razcal's Double-Crosser,2013,36.0,Legends of Chima,Legends of Chima
30255-1,Crawley,2013,11.0,Legends of Chima,Legends of Chima
30256-1,Ice Bear Mech,2015,,Legends of Chima,Legends of Chima
30259-1,Azari’s Magic Fire,2015,,Elves,Elves
30260-1,Lone Ranger’s Pump Car,2013,,The Lone Ranger,The Lone Ranger
3026-1,25th Anniversary Silver Tub,1998,1201.0,Basic Set,Universal Building Set
30261-1,Tonto's Campfire,2013,20.0,The Lone Ranger,The Lone Ranger
30262-1,Gorzan's Walker ,2014,,Legends of Chima,Legends of Chima
30263-1,Spider Crawler,2014,,Legends of Chima,Legends of Chima
30264-1,Frax' Phoenix Flyer,2014,,Legends of Chima,Legends of Chima
30265-1,Worriz' Fire Bike,2014,31.0,Legends of Chima,Legends of Chima
30266-1,Sykor's Ice Cruiser,2014,25.0,Legends of Chima,Legends of Chima
30270-1,Kraang's Turtle Target Practice,2013,,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
3027-1,25th Anniversary Silver Bucket,1998,418.0,Freestyle,Freestyle
30271-1,Mikey's Mini-Shellraiser,2014,,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
30272-1,A-Wing Starfighter,2015,,Mini,Star Wars
30274-1,AT-DP,2015,,Mini,Star Wars
30275-1,TIE Advanced Prototype,2015,47.0,Mini,Star Wars
30276-1,First Order Special Forces TIE Fighter Set,2015,,Star Wars,Star Wars
30277-1,First Order Star Destroyer,2016,,Star Wars Episode 7,Star Wars
30278-1,Poe's X-wing Fighter,2015,64.0,Mini,Star Wars
30279-1,Kylo Ren's Command Shuttle,2016,,Star Wars Episode 7,Star Wars
30280-1,The Piece of Resistance,2014,,The LEGO Movie,The LEGO Movie
3028-1,25th Anniversary Silver Tub,1998,843.0,Freestyle,Freestyle
30281-1,Micro Manager Battle,2014,27.0,The LEGO Movie,The LEGO Movie
30282-1,Super Secret Police Enforcer,2014,40.0,The LEGO Movie,The LEGO Movie
30283-1,Off-Road,2015,43.0,Traffic,Creator
30284-1,Tractor,2015,51.0,Basic Model,Creator
30285-1,Tiger,2015,,Creature,Creator
30286-1,Christmas Tree,2015,65.0,Christmas,Seasonal
30291-1,Anacondrai Battle Mech,2015,43.0,Ninjago,Ninjago
30292-1,Jay Nano Mech,2015,54.0,Ninjago,Ninjago
30293-1,Kai Drifter,2015,43.0,Ninjago,Ninjago
30294-1,The Cowler Dragon,2015,45.0,Ninjago,Ninjago
30300-1,The Batman Tumbler,2014,57.0,Batman,Super Heroes
30301-1,Batwing,2014,45.0,Batman,Super Heroes
30302-1,Spider-Man,2014,,Spider-Man,Super Heroes
30303-1,The Joker Bumper Car,2015,,Batman,Super Heroes
30304-1,The Avengers Quinjet,2015,,Avengers,Super Heroes
30305-1,Spider-Man Super Jumper,2015,38.0,Spider-Man,Super Heroes
303-1,Basic Building Set,1987,,Basic,Universal Building Set
30310-1,Arctic Scout,2014,,Arctic,Town
30311-1,Swamp Police Helicopter,2015,,Police,Town
30312-1,Demolition Driller,2015,,Construction,Town
30313-1,Garbage Truck,2015,48.0,Traffic,Town
30314-1,Go-Kart Racer,2015,45.0,Traffic,Town
30315-1,Space Utility Vehicle,2015,,Space Port,Town
303-2,Aeroplane,1964,,Airport,Classic
30320-1,Gallimimus Trap,2015,,Jurassic World,Jurassic World
3032-1,Medium Bucket,1999,600.0,Basic Set,Universal Building Set
30321-1,Duck,2016,4.0,Duplo,Duplo
30324-1,My Town Polybag : Female,2017,3.0,Duplo,Duplo
30324-2,My Town Polybag : Policeman,2017,,Duplo,Duplo
30324-3,My Town Polybag : Girl,2017,3.0,Duplo,Duplo
30324-4,My Town Polybag : Cat,2017,,Duplo,Duplo
30324-5,My Town Polybag : Male,2017,3.0,Duplo,Duplo
3033-1,Basic Bulk Tub (American Version),1998,1200.0,Supplemental,Universal Building Set
3033-2,Basic Bulk Tub (Overseas Version),2002,1200.0,Supplemental,Universal Building Set
30338-1,Fire Car,2017,,Fire,4 Juniors
30346-1,Prison Island Helicopter,2016,,Police,Town
30347-1,Fire Car,2016,53.0,Fire,Town
30348-1,Mini Dumper,2016,45.0,Construction,Town
30349-1,Sports Car,2016,47.0,City,Town
30350-1,Volcano Jackhammer,2016,53.0,City,Town
30351-1,Police Helicopter,2017,,Police,Town
30352-1,Police Car,2017,,Police,Town
30354-1,Hot Rod,2017,37.0,City,Town
30355-1,Jungle ATV,2017,,Jungle,Town
30371-1,Knight's Cycle,2016,41.0,Nexo Knights,Nexo Knights
30372-1,Robin's Mini Fortrex,2016,,Nexo Knights,Nexo Knights
30373-1,Knighton Hyper Cannon,2016,,Nexo Knights,Nexo Knights
30374-1,The Lava Slinger,2016,39.0,Nexo Knights,Nexo Knights
30375-1,Sira's Adventurous Airglider,2016,24.0,Elves,Elves
30376-1,Knighton Rider,2017,,Nexo Knights,Nexo Knights
30377-1,Motor Horse polybag,2017,52.0,Nexo Knights,Nexo Knights
30378-1,Shrunken Headquarters,2017,,Nexo Knights,Nexo Knights
3038-1,Spider Slayer,1998,,Competition,Technic
3039-1,Adventurers Plane,1999,23.0,Desert,Adventurers
30396-1,Cupcake Stall,2016,28.0,Friends,Friends
30397-1,Olaf's Summertime Fun,2016,,Disney Princess,Disney Princess
30398-1,Adventure Camp Bridge,2016,37.0,Friends,Friends
30399-1,Bowling Alley,2016,,Friends,Friends
30400-1,Gymnastic Bar,2017,26.0,Friends,Friends
3040-1,Challenger Set 200,1998,155.0,Classic Basic,Universal Building Set
30401-1,Emma's Pool Slide,2017,45.0,Friends,Friends
30402-1,Snowboard Tricks,2017,27.0,Friends,Friends
304-1,Basic Building Set,1985,31.0,Basic,Universal Building Set
3041-1,Big Bucket of Fun,1998,468.0,Classic Basic,Universal Building Set
304-2,Tractor & Trailer,1964,,Farm,Classic
30421-1,Skybound Plane,2016,30.0,Ninjago,Ninjago
30422-1,Kai's Mini Dragon,2016,40.0,Ninjago,Ninjago
30423-1,Anchor-Jet,2016,38.0,Ninjago,Ninjago
30424-1,WU-CRU Training Dojo,2016,43.0,Ninjago,Ninjago
30426-1,Stealthy Swamp Airboat,2017,43.0,Ninjago,Ninjago
30446-1,The Batmobile,2016,,Batman,Super Heroes
30447-1,Captain America's Motorcycle,2016,,Marvel,Super Heroes
30448-1,Spider-Man vs. The Venom Symbiote,2016,49.0,Spider-Man,Super Heroes
30449-1,The Milano,2017,64.0,Marvel,Super Heroes
3047-1,Halloween Bucket,1998,256.0,Halloween,Seasonal
30471-1,Helicopter,2016,,Creator,Creator
30472-1,Parrot,2016,,Creator,Creator
30473-1,Racer,2016,30.0,Juniors,Juniors
30474-1,Reindeer,2016,,Christmas,Seasonal
30475-1,Off Roader,2017,33.0,Traffic,Creator
30476-1,Turtle,2017,33.0,Creature,Creator
30477-1,Chameleon,2017,53.0,Creature,Creator
30478-1,Santa Claus,2017,74.0,Creator,Seasonal
30496-1,U-Wing Fighter,2017,55.0,Star Wars Rogue One,Star Wars
30497-1,First Order Heavy Assault Walker - Mini,2017,54.0,Mini,Star Wars
3050-1,Shanghai Surprise,1999,108.0,Ninja,Ninja
305-1,Two Crater Plates,1979,,Supplemental,Space
3051-1,Blaze Attack,1999,144.0,Ninja,Ninja
305-2,Fire Engine,1964,170.0,Fire,Classic
3052-1,Ninja Fire Fortress,1999,,Ninja,Ninja
30521-1,The Mini Batmobile,2017,68.0,Batman,Super Heroes
30522-1,Batman in the Phantom Zone polybag,2016,,Batman,Super Heroes
30523-1,The Joker Battle Training,2017,49.0,Batman,Super Heroes
30524-1,The Mini Batwing,2017,,Batman,Super Heroes
3053-1,Emperor's Stronghold,1999,335.0,Ninja,Ninja
3054-1,Kelloggs Promotional Set: TECHNIC Motorcycle,1998,30.0,Riding Cycle,Technic
30546-1,Krypto Saves the Day,2017,55.0,Super Heroes,Super Heroes
3055-1,Adventurers Car,1998,21.0,Desert,Adventurers
3056-1,Go-Kart,1998,,Race,Town
3057-1,Create 'n' Race - Master Builders,2000,106.0,Race,Technic
3058-1,Busy City - Master Builders (Masterbuilders),2000,73.0,Construction,Town
3059-1,Mars Mission - Master Builders (Masterbuilders),2000,,Space Port,Town
30601-1,Scooby-Doo,2016,,Scooby-Doo,Scooby-Doo
30602-1,First Order Stormtrooper,2016,7.0,Star Wars,Star Wars
30603-1,Batman Classic TV Series - Mr. Freeze,2016,16.0,Batman,Super Heroes
30604-1,Cosmic Boy,2016,7.0,Super Heroes,Super Heroes
30605-1,Finn (FN-2187),2016,,Star Wars Episode 7,Star Wars
30606-1,Nightwing,2016,6.0,Super Heroes,Super Heroes
30607-1,Disco Batman - Tears of Batman,2017,,Batman,Super Heroes
306-1,Two Lunar Landing Plates,1979,,Supplemental,Space
3061-1,City Park Café,2012,247.0,Friends,Friends
30611-1,R2-D2,2017,70.0,Star Wars,Star Wars
30612-1,Batgirl,2017,,Batman,Super Heroes
306-2,VW Garage,1958,45.0,Town Plan,Classic
3063-1,Heartlake Flying Club,2012,,Friends,Friends
3065-1,Olivia’s Tree House,2012,,Friends,Friends
3066-1,Cosmos Glider,1999,,Space Port,Town
3066-3,Circus Acrobat Polybag,2013,3.0,Duplo,Duplo
3067-1,Test Shuttle,1999,21.0,Space Port,Town
3068-1,Radar Buggy,1999,,Space Port,Town
3069-1,Cosmic Wing,1999,23.0,Space Port,Town
3070-1,Mosquito,1999,21.0,Insectoids,Space
3071-1,Light Flyer,1999,,Insectoids,Space
307-2,VW Auto Showroom,1958,51.0,Town Plan,Classic
3072-1,Mega Tack,1999,,Insectoids,Space
3073-1,Booster,1999,21.0,Insectoids,Space
3074-1,Red Ninja's Dragon Glider,1999,20.0,Ninja,Ninja
3075-1,Ninja Master's Boat,1999,21.0,Ninja,Ninja
3076-1,White Ninja's Attack Cart,1999,23.0,Ninja,Ninja
3077-1,Ninja Shogun's Small Fort,1999,21.0,Ninja,Ninja
3078-1,Kellogg's Promotional Set: Car,1998,,Basic Model,Universal Building Set
3079-1,Kellogg's Promotional Set: Duck,1998,14.0,Basic Model,Universal Building Set
3080-1,Kellogg's Promotional Set: Plane,1998,16.0,Basic Model,Universal Building Set
308-1,Bracelet Sympathy,1979,38.0,Hobby Sets,Hobby Sets
3081-1,Kellogg's Promotional Set: Helicopter,1998,16.0,Basic Model,Universal Building Set
308-2,Basic Building Set,1985,,Basic,Universal Building Set
308-3,Fire Station,1958,,Town Plan,Classic
309-1,Bracelet Spring,1979,38.0,Hobby Sets,Hobby Sets
309-2,Church,1958,,Town Plan,Classic
3093-1,Fun Playground,2001,31.0,Duplo,Duplo
309314-1,Lego City - Police on Alert!,2011,19.0,Books,Books
31000-1,Mini Speeder,2013,,Creator,Creator
31001-1,Mini Skyfighter,2013,,Creator,Creator
31002-1,Super Racer,2013,,Creator,Creator
31003-1,Red Rotors,2013,145.0,Airport,Creator
31004-1,Fierce Flyer,2013,166.0,Creator,Creator
31005-1,Construction Hauler,2013,256.0,Creator,Creator
31006-1,Highway Speedster,2013,286.0,Traffic,Creator
31007-1,Power Mech,2013,,Creator,Creator
31008-1,Thunder Wings,2013,235.0,Creator,Creator
31009-1,Small Cottage,2013,271.0,Building,Creator
31010-1,Treehouse,2013,356.0,Building,Creator
31011-1,Aviation Adventures,2013,,Airport,Creator
31012-1,Family House,2013,,Building,Creator
31013-1,Red Thunder,2014,66.0,Creator,Creator
31014-1,Power Digger,2014,,Creator,Creator
31015-1,Emerald Express,2014,56.0,Creator,Creator
31017-1,Sunset Speeder,2014,119.0,Creator,Creator
31018-1,Highway Cruiser,2014,129.0,Creator,Creator
31019-1,Forest Animals,2014,272.0,Creator,Creator
31020-1,Twinblade Adventures,2014,,Creator,Creator
31021-1,Furry Creatures,2014,285.0,Creator,Creator
31022-1,Turbo Quad,2014,186.0,Traffic,Creator
31023-1,Yellow Racers,2014,328.0,Creator,Creator
31024-1,Roaring Power,2014,374.0,Creator,Creator
31025-1,Mountain Hut,2014,,Creator,Creator
31026-1,Bike Shop & Cafe,2014,,Creator,Creator
31027-1,Blue Racer,2015,,Basic Model,Creator
31028-1,Sea Plane,2015,53.0,Basic Model,Creator
31029-1,Cargo Heli,2015,132.0,Basic Model,Creator
310-3,Tug,1973,45.0,Boat,Boat
31030-1,Red Go-Kart,2015,106.0,Basic Model,Creator
31031-1,Rainforest Animals,2015,215.0,Creature,Creator
31032-1,Red Creatures,2015,221.0,Creature,Creator
31033-1,Vehicle Transporter,2015,,Basic Model,Creator
31034-1,Future Flyer,2015,237.0,Robot,Creator
31035-1,Beach Hut,2015,286.0,Building,Creator
31036-1,Toy & Grocery Shop,2015,,Building,Creator
31037-1,Adventure Vehicles,2015,,Creator,Creator
31038-1,Changing Seasons,2015,535.0,Creator,Creator
31039-1,Blue Power Jet,2015,607.0,Creator,Creator
310-4,Basic Building Set,1985,46.0,Basic,Universal Building Set
31040-1,Desert Racers,2016,65.0,Creator,Creator
31041-1,Construction Vehicles,2016,64.0,Creator,Creator
31042-1,Super Soarer,2016,,Creator,Creator
31043-1,Chopper transporter,2016,,Creator,Creator
31044-1,Park Animals,2016,202.0,Creator,Creator
31045-1,Ocean Explorer,2016,213.0,Creator,Creator
31046-1,Fast Car,2016,,Creator,Creator
31047-1,Propeller Plane,2016,230.0,Creator,Creator
31048-1,Lakeside Lodge,2016,,Creator,Creator
31049-1,Twin Spin Helicopter,2016,,Creator,Creator
310-5,ESSO Filling Station,1958,,Town Plan,Classic
31050-1,Corner Deli,2016,467.0,Creator,Creator
31051-1,Lighthouse Point,2016,,Creator,Creator
31052-1,Vacation Getaways,2016,,Creator,Creator
31053-1,Treehouse Adventures,2016,,Creator,Creator
31054-1,Blue Express,2017,,Creator,Creator
31055-1,Red Racer,2017,72.0,Creator,Creator
31056-1,Green Cruiser,2016,122.0,Creator,Creator
31057-1,Air Blazer,2016,,Creator,Creator
31058-1,Mighty Dinosaurs,2017,174.0,Creator,Creator
31059-1,Sunset Street Bike,2016,194.0,Creator,Creator
31060-1,Airshow Aces,2016,,Creator,Creator
31062-1,Robo Explorer 1,2017,205.0,Creator,Creator
31063-1,Beachside Vacation,2017,275.0,Creator,Creator
31064-1,Seaplane Adventures,2017,,Creator,Creator
31065-1,Park Street Townhouse,2017,565.0,Creator,Creator
31066-1,Space Shuttle Explorer,2017,,Creator,Creator
31067-1,Modular Poolside Holiday,2017,356.0,Creator,Creator
31068-1,Modular Modern Home,2017,,Creator,Creator
31069-1,Modular Family Villa,2017,728.0,Creator,Creator
31070-1,Turbo Track Racer,2017,,Creator,Creator
31-1,Medium Ship Set,1973,0.0,Minitalia,Minitalia
311-1,Ferry,1973,82.0,Boat,Boat
311-3,Basic Set,1984,34.0,Basic Set,Universal Building Set
311-4,Airplanes,1961,,Airport,Classic
31-2,Universal Joint / Connectors,1973,,Technic,Service Packs
312-3,Tanker,1973,,Boat,Boat
312-4,Boats,1961,,Harbor,Classic
313-1,London Bus,1966,140.0,Traffic,Classic
31313-1,Mindstorms EV3,2013,600.0,EV3,Mindstorms
314-1,Police Boat,1976,52.0,Boat,Boat
314-2,Large & Small Wheels & Turn-Table,1963,,Supplemental,Classic
3146-1,Carry and Shopping Accessories,1999,,Scala,Service Packs
315-1,Basic Building Set,1990,62.0,Basic,Universal Building Set
315-2,Container Transport,1976,,Boat,Boat
315-3,European Taxie,1963,48.0,Traffic,Classic
316-1,Fire Fighter Ship,1978,,Boat,Boat
316-2,Farm Tractor,1963,49.0,Farm,Classic
317-1,Truck,1963,125.0,Traffic,Classic
317-2,Basic Building Set,1987,68.0,Basic,Universal Building Set
3177-1,Small Car,2010,,Traffic,Town
3178-1,Seaplane,2010,101.0,Harbor,Town
3179-1,Repair Truck,2010,122.0,Traffic,Town
3180-1,Tank Truck,2010,221.0,Town,Town
318-1,Windmill Set,1963,,Building,Classic
3181-1,Passenger Plane,2010,,Airport,Town
3181-2,Passenger Plane - ANA Version,2010,296.0,Airport,Town
3182-1,Airport,2010,,Airport,Town
3183-1,Stephanie’s Cool Convertible,2012,149.0,Friends,Friends
3184-1,Adventure Camper,2012,324.0,Friends,Friends
3185-1,Summer Riding Camp,2012,,Friends,Friends
3186-1,Emma's  Horse Trailer,2012,233.0,Friends,Friends
3187-1,Butterfly Beauty Shop,2012,241.0,Friends,Friends
3188-1,Heartlake Vet,2012,371.0,Friends,Friends
3189-1,Heartlake Stables,2012,424.0,Friends,Friends
319-1,Truck with Trailer,1965,74.0,Traffic,Classic
3194-1,Clikits Bracelet Heart,2004,,Clikits,Clikits
3195-1,Clikits Bracelet Daisy,2004,9.0,Clikits,Clikits
3196-1,Clikits Bracelet Star,2004,,Clikits,Clikits
3197-1,Small Aircraft,2001,,Airport,Universal Building Set
320-1,Basic Building Set,1985,78.0,Basic,Universal Building Set
320-2,Airplane,1965,120.0,Airport,Classic
321-1,Clowns,1965,,Basic Set,Classic
3219-1,TIE Fighter - Mini,2003,12.0,Mini,Star Wars
32-2,Large Ship Set,1973,57.0,Minitalia,Minitalia
322-1,Basic Set,1981,82.0,Basic Set,Universal Building Set
3221-1,LEGO® City Truck,2010,,Traffic,Town
322-2,Town House,1964,171.0,Building,Classic
3222-1,Helicopter and Limousine,2010,250.0,Airport,Town
322-3,Basic Building Set + Storage Case,1983,2.0,Basic Set,Universal Building Set
3223-1,Orange Fish,2003,43.0,Designer Sets,Designer Sets
3225-1,Classic Train,1998,,9V,Train
3226-1,Cars and Planes,1998,311.0,Freestyle,Freestyle
323-1,Train,1964,253.0,Train,Classic
3233-1,Fantasy Bird,1998,,Freestyle,Freestyle
3234-1,Fantasy Boat,1998,,Freestyle,Freestyle
324-1,Ricky Racoon on his Scooter,1979,2.0,Fabuland,Fabuland
324-2,House with Garage,1964,174.0,Building,Classic
3243-1,Scala Kitchen,1997,,Other,Other
